nazwa_zmiennej;kraj;formula egzaminu;rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język francuski;mężczyźni;relacja [%];2015;83,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język rosyjski;mężczyźni;relacja [%];2015;64,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język hiszpański;mężczyźni;relacja [%];2015;83,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język włoski;mężczyźni;relacja [%];2015;79,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język polski;ogółem;relacja [%];2015;65,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język białoruski;ogółem;relacja [%];2015;74,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język litewski;ogółem;relacja [%];2015;77,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język ukraiński;ogółem;relacja [%];2015;77,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;matematyka;ogółem;relacja [%];2015;54,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język angielski;ogółem;relacja [%];2015;76,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język niemiecki;ogółem;relacja [%];2015;71,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język francuski;ogółem;relacja [%];2015;82,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język rosyjski;ogółem;relacja [%];2015;67,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język hiszpański;ogółem;relacja [%];2015;83,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język włoski;ogółem;relacja [%];2015;78,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język polski;kobiety;relacja [%];2015;61,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język białoruski;kobiety;relacja [%];2015;100,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język litewski;kobiety;relacja [%];2015;77,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język ukraiński;kobiety;relacja [%];2015;97,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;matematyka;kobiety;relacja [%];2015;40,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język angielski;kobiety;relacja [%];2015;62,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język niemiecki;kobiety;relacja [%];2015;61,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język francuski;kobiety;relacja [%];2015;58,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język rosyjski;kobiety;relacja [%];2015;65,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język hiszpański;kobiety;relacja [%];2015;59,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język włoski;kobiety;relacja [%];2015;68,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;wiedza o społeczeństwie;kobiety;relacja [%];2015;24,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;geografia;kobiety;relacja [%];2015;40,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;biologia;kobiety;relacja [%];2015;41,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;chemia;kobiety;relacja [%];2015;50,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia;kobiety;relacja [%];2015;48,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;fizyka;kobiety;relacja [%];2015;39,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia muzyki;kobiety;relacja [%];2015;63,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia sztuki;kobiety;relacja [%];2015;45,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;filozofia;kobiety;relacja [%];2015;64,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łaciński i kultura antyczna;kobiety;relacja [%];2015;52,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;informatyka;kobiety;relacja [%];2015;43,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język kaszubski;kobiety;relacja [%];2015;64,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łemkowski;kobiety;relacja [%];2015;95,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język polski;mężczyźni;relacja [%];2015;60,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język białoruski;mężczyźni;relacja [%];2015;100,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język litewski;mężczyźni;relacja [%];2015;71,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język ukraiński;mężczyźni;relacja [%];2015;98,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;matematyka;mężczyźni;relacja [%];2015;42,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język angielski;mężczyźni;relacja [%];2015;64,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język niemiecki;mężczyźni;relacja [%];2015;65,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język francuski;mężczyźni;relacja [%];2015;58,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język rosyjski;mężczyźni;relacja [%];2015;65,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język hiszpański;mężczyźni;relacja [%];2015;56,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język włoski;mężczyźni;relacja [%];2015;71,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;wiedza o społeczeństwie;mężczyźni;relacja [%];2015;29,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;geografia;mężczyźni;relacja [%];2015;42,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;biologia;mężczyźni;relacja [%];2015;46,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;chemia;mężczyźni;relacja [%];2015;54,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia;mężczyźni;relacja [%];2015;51,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;fizyka;mężczyźni;relacja [%];2015;45,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia muzyki;mężczyźni;relacja [%];2015;54,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia sztuki;mężczyźni;relacja [%];2015;43,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;filozofia;mężczyźni;relacja [%];2015;59,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łaciński i kultura antyczna;mężczyźni;relacja [%];2015;62,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;informatyka;mężczyźni;relacja [%];2015;46,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język kaszubski;mężczyźni;relacja [%];2015;59,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łemkowski;mężczyźni;relacja [%];2015;0;(.)
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język polski;ogółem;relacja [%];2015;60,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język białoruski;ogółem;relacja [%];2015;100,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język litewski;ogółem;relacja [%];2015;75,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język ukraiński;ogółem;relacja [%];2015;97,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;matematyka;ogółem;relacja [%];2015;41,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język angielski;ogółem;relacja [%];2015;63,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język niemiecki;ogółem;relacja [%];2015;62,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język francuski;ogółem;relacja [%];2015;58,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język rosyjski;ogółem;relacja [%];2015;65,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język hiszpański;ogółem;relacja [%];2015;58,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język włoski;ogółem;relacja [%];2015;69,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;wiedza o społeczeństwie;ogółem;relacja [%];2015;26,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;geografia;ogółem;relacja [%];2015;41,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;biologia;ogółem;relacja [%];2015;43,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;chemia;ogółem;relacja [%];2015;51,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia;ogółem;relacja [%];2015;49,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;fizyka;ogółem;relacja [%];2015;43,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia muzyki;ogółem;relacja [%];2015;59,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia sztuki;ogółem;relacja [%];2015;45,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;filozofia;ogółem;relacja [%];2015;61,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łaciński i kultura antyczna;ogółem;relacja [%];2015;56,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;informatyka;ogółem;relacja [%];2015;46,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język kaszubski;ogółem;relacja [%];2015;64,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łemkowski;ogółem;relacja [%];2015;95,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język polski;kobiety;relacja [%];2015;67,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język angielski;kobiety;relacja [%];2015;71,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język niemiecki;kobiety;relacja [%];2015;68,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język francuski;kobiety;relacja [%];2015;80,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język rosyjski;kobiety;relacja [%];2015;68,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język hiszpański;kobiety;relacja [%];2015;79,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język włoski;kobiety;relacja [%];2015;77,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język polski;mężczyźni;relacja [%];2015;64,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język angielski;mężczyźni;relacja [%];2015;73,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język niemiecki;mężczyźni;relacja [%];2015;67,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język francuski;mężczyźni;relacja [%];2015;80,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język rosyjski;mężczyźni;relacja [%];2015;63,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język hiszpański;mężczyźni;relacja [%];2015;78,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język włoski;mężczyźni;relacja [%];2015;81,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język polski;ogółem;relacja [%];2015;66,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język angielski;ogółem;relacja [%];2015;72,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język niemiecki;ogółem;relacja [%];2015;68,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język francuski;ogółem;relacja [%];2015;80,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język rosyjski;ogółem;relacja [%];2015;66,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język hiszpański;ogółem;relacja [%];2015;79,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;ustny;nie dotyczy;język włoski;ogółem;relacja [%];2015;78,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język polski;kobiety;relacja [%];2016;62,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język białoruski;kobiety;relacja [%];2016;73,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język litewski;kobiety;relacja [%];2016;83,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język ukraiński;kobiety;relacja [%];2016;78,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;matematyka;kobiety;relacja [%];2016;55,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język angielski;kobiety;relacja [%];2016;70,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język niemiecki;kobiety;relacja [%];2016;73,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język francuski;kobiety;relacja [%];2016;78,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język rosyjski;kobiety;relacja [%];2016;64,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język hiszpański;kobiety;relacja [%];2016;81,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język włoski;kobiety;relacja [%];2016;80,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język polski;mężczyźni;relacja [%];2016;55,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język białoruski;mężczyźni;relacja [%];2016;64,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język litewski;mężczyźni;relacja [%];2016;81,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język ukraiński;mężczyźni;relacja [%];2016;70,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;matematyka;mężczyźni;relacja [%];2016;56,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język angielski;mężczyźni;relacja [%];2016;72,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język niemiecki;mężczyźni;relacja [%];2016;67,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język francuski;mężczyźni;relacja [%];2016;79,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język rosyjski;mężczyźni;relacja [%];2016;58,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język hiszpański;mężczyźni;relacja [%];2016;82,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język włoski;mężczyźni;relacja [%];2016;83,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język polski;ogółem;relacja [%];2016;59,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język białoruski;ogółem;relacja [%];2016;69,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język litewski;ogółem;relacja [%];2016;83,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język ukraiński;ogółem;relacja [%];2016;75,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;matematyka;ogółem;relacja [%];2016;56,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język angielski;ogółem;relacja [%];2016;71,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język niemiecki;ogółem;relacja [%];2016;71,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język francuski;ogółem;relacja [%];2016;78,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język rosyjski;ogółem;relacja [%];2016;62,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język hiszpański;ogółem;relacja [%];2016;81,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język włoski;ogółem;relacja [%];2016;80,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język polski;kobiety;relacja [%];2016;61,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język białoruski;kobiety;relacja [%];2016;100,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język litewski;kobiety;relacja [%];2016;79,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język ukraiński;kobiety;relacja [%];2016;90,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;matematyka;kobiety;relacja [%];2016;32,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język angielski;kobiety;relacja [%];2016;55,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język niemiecki;kobiety;relacja [%];2016;53,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język francuski;kobiety;relacja [%];2016;65,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język rosyjski;kobiety;relacja [%];2016;57,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język hiszpański;kobiety;relacja [%];2016;58,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język włoski;kobiety;relacja [%];2016;65,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;wiedza o społeczeństwie;kobiety;relacja [%];2016;25,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;geografia;kobiety;relacja [%];2016;37,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;biologia;kobiety;relacja [%];2016;36,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;chemia;kobiety;relacja [%];2016;37,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia;kobiety;relacja [%];2016;41,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;fizyka;kobiety;relacja [%];2016;41,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia muzyki;kobiety;relacja [%];2016;53,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia sztuki;kobiety;relacja [%];2016;45,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;filozofia;kobiety;relacja [%];2016;53,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łaciński i kultura antyczna;kobiety;relacja [%];2016;50,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;informatyka;kobiety;relacja [%];2016;42,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język kaszubski;kobiety;relacja [%];2016;64,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łemkowski;kobiety;relacja [%];2016;95,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język polski;mężczyźni;relacja [%];2016;58,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język białoruski;mężczyźni;relacja [%];2016;100,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język litewski;mężczyźni;relacja [%];2016;78,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język ukraiński;mężczyźni;relacja [%];2016;75,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;matematyka;mężczyźni;relacja [%];2016;29,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język angielski;mężczyźni;relacja [%];2016;55,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język niemiecki;mężczyźni;relacja [%];2016;53,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język francuski;mężczyźni;relacja [%];2016;63,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język rosyjski;mężczyźni;relacja [%];2016;56,6;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język hiszpański;mężczyźni;relacja [%];2016;59,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język włoski;mężczyźni;relacja [%];2016;71,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;wiedza o społeczeństwie;mężczyźni;relacja [%];2016;28,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;geografia;mężczyźni;relacja [%];2016;39,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;biologia;mężczyźni;relacja [%];2016;36,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;chemia;mężczyźni;relacja [%];2016;42,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia;mężczyźni;relacja [%];2016;42,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;fizyka;mężczyźni;relacja [%];2016;40,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia muzyki;mężczyźni;relacja [%];2016;45,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;historia sztuki;mężczyźni;relacja [%];2016;40,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;filozofia;mężczyźni;relacja [%];2016;44,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;język łaciński i kultura antyczna;mężczyźni;relacja [%];2016;45,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;rozszerzony;informatyka;mężczyźni;relacja [%];2016;38,5;
