nazwa_zmiennej;kraj;wojewodztwo;status_zdajacych;plec;typ_informacji_z_jednostka_miary;rok;wartosc;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2017;116577;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2017;141453;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2018;112592;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2018;135248;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2019;112879;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2019;134351;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2020;119132;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2020;140140;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2021;125659;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2021;147760;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2022;123213;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2022;145044;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2023;115130;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2023;138365;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2010;129647;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2010;169125;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2011;113551;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2011;145978;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2012;116132;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2012;148990;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2013;111469;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2013;143588;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2014;91146;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2014;116877;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2015;91984;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2015;112513;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2016;91574;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2016;113787;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2017;91334;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2017;111216;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2018;88637;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2018;108779;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2019;89902;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2019;109154;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2020;86223;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2020;105511;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2021;91969;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2021;111624;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2022;95568;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2022;114269;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;mężczyźni;wartość [osoba];2023;97224;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;zdało;kobiety;wartość [osoba];2023;116801;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2010;9951;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2010;13448;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2011;9386;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2011;12146;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2012;9187;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2012;11752;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2013;8764;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2013;11370;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2014;8459;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2014;10474;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2015;8184;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2015;9579;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2016;7481;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2016;9208;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2017;7554;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2017;9077;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2018;7054;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2018;8444;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2019;7181;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2019;8392;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2020;7300;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2020;8855;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2021;8212;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2021;9429;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2022;8007;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2022;9059;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;mężczyźni;wartość [osoba];2023;7311;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;przystąpiło;kobiety;wartość [osoba];2023;9050;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2010;8171;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2010;11005;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2011;7090;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2011;9018;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2012;7425;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2012;9344;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2013;7019;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2013;9208;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2014;5881;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2014;7223;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2015;6054;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2015;6871;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2016;5873;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2016;7041;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2017;5833;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2017;6820;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2018;5474;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2018;6476;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2019;5691;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2019;6563;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2020;5248;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2020;6432;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2021;5901;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2021;6729;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2022;5971;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2022;6788;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;mężczyźni;wartość [osoba];2023;6051;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Dolnośląskie;zdało;kobiety;wartość [osoba];2023;7385;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2010;8001;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2010;10636;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2011;7554;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2011;10334;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2012;7218;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2012;9541;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2013;7208;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2013;9346;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2014;6700;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2014;8779;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2015;6593;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2015;8295;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2016;6002;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2016;7560;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2017;6165;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2017;7359;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2018;5615;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2018;6883;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2019;5814;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2019;6792;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2020;6057;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2020;7264;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2021;6389;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2021;7735;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2022;6355;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2022;7394;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;mężczyźni;wartość [osoba];2023;5558;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;przystąpiło;kobiety;wartość [osoba];2023;6757;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2010;6642;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2010;8803;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2011;5733;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2011;7696;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2012;5798;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2012;7689;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2013;5814;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2013;7705;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2014;4808;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2014;6166;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2015;4930;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2015;5990;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2016;4736;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2016;5920;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2017;4757;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2017;5791;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2018;4360;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2018;5415;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2019;4506;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2019;5361;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2020;4230;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2020;5286;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2021;4360;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2021;5539;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2022;4832;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2022;5637;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;mężczyźni;wartość [osoba];2023;4707;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Kujawsko-pomorskie;zdało;kobiety;wartość [osoba];2023;5668;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2010;10442;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2010;13185;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2011;10006;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2011;12715;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2012;9670;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2012;11861;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2013;9117;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2013;11425;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2014;8448;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2014;10361;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2015;7807;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2015;9656;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2016;7336;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2016;9096;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2017;7512;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2017;9234;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2018;2543;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2018;3160;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2019;7067;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2019;8276;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2020;7453;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2020;8457;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2021;7479;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2021;8567;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2022;7244;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2022;8568;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;mężczyźni;wartość [osoba];2023;6698;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;przystąpiło;kobiety;wartość [osoba];2023;7934;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;mężczyźni;wartość [osoba];2010;8124;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;kobiety;wartość [osoba];2010;10738;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;mężczyźni;wartość [osoba];2011;7246;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;kobiety;wartość [osoba];2011;9574;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;mężczyźni;wartość [osoba];2012;7594;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;kobiety;wartość [osoba];2012;9627;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;mężczyźni;wartość [osoba];2013;7186;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;kobiety;wartość [osoba];2013;9300;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;mężczyźni;wartość [osoba];2014;5752;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;kobiety;wartość [osoba];2014;7458;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;mężczyźni;wartość [osoba];2015;5617;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Lubelskie;zdało;kobiety;wartość [osoba];2015;7102;
